iter	MultiClass
219	0.9615176325
220	0.9612431245
221	0.9609156982
222	0.9606680912
223	0.9604986345
224	0.9602133269
225	0.9600359177
226	0.9598430945
227	0.959591364
228	0.9593932392
229	0.9592070921
230	0.9589829499
231	0.9587577277
232	0.9585924927
233	0.9583087559
234	0.9581015986
235	0.9578609623
236	0.9576572412
237	0.9574372225
238	0.9572143566
239	0.9570177044
240	0.9568094671
241	0.9566452139
242	0.9564023195
243	0.9561365495
244	0.9559233051
245	0.9557162459
246	0.9555161575
247	0.9553135164
248	0.9551139189
249	0.9548871258
250	0.9546505148
251	0.9544094858
252	0.9542236333
253	0.9540149051
254	0.9537792759
255	0.9535921471
256	0.9534028583
257	0.9531235396
258	0.9529392579
259	0.9526404998
260	0.9524821373
261	0.9522468027
262	0.9520220714
263	0.9517713227
264	0.9515542493
265	0.9513494483
266	0.9511659521
267	0.9509230576
268	0.950713544
269	0.9504333417
270	0.950216072
271	0.9499717049
272	0.9497213489
273	0.9494921013
274	0.9492779733
275	0.9490742523
276	0.9488578661
277	0.948665632
278	0.9484796813
279	0.94825387
280	0.94804632
281	0.9478131453
282	0.9476511502
283	0.947449
284	0.9472784634
285	0.9470378271
286	0.9467975835
287	0.946562838
288	0.9462994242
289	0.9461100373
290	0.9458462308
291	0.9456350481
292	0.9454264181
293	0.9452008032
294	0.9450347828
295	0.9448556064
296	0.9446078031
297	0.9444039839
298	0.9442611337
299	0.9440687032
300	0.943868222
301	0.9436912056
302	0.9435334322
303	0.9433388418
304	0.9431481785
305	0.9429064623
306	0.9427170753
307	0.9425055
308	0.9423702096
309	0.9420942289
310	0.9418736211
311	0.9416677401
312	0.9414842439
313	0.9412866099
314	0.9411741951
315	0.9409815683
316	0.9407940468
317	0.9405644065
318	0.9403200394
319	0.9401273144
320	0.9398613479
321	0.9395759421
322	0.9393770318
323	0.9391980518
324	0.9390338968
325	0.9388447062
326	0.9386466796
327	0.9384206719
328	0.938229125
329	0.9380629083
330	0.937872245
331	0.9377123117
332	0.9375707378
333	0.9373917578
334	0.9372245593
335	0.9369413134
336	0.9367741149
337	0.93663637
338	0.9364300963
339	0.9362321678
340	0.9360879431
341	0.9359055268
342	0.9356868826
343	0.935481787
344	0.9352796368
345	0.9350506838
346	0.9348982121
347	0.9346530596
348	0.9344008382
349	0.9342366832
350	0.9341070872
351	0.9339058206
352	0.9336926744
353	0.9335139889
354	0.9332903376
355	0.9331295206
356	0.9329427845
357	0.9327991489
358	0.9325765775
359	0.932374231
360	0.9321538195
361	0.9319899591
362	0.9317563916
363	0.9315937093
364	0.9314363287
365	0.9312620613
366	0.9310122943
367	0.9308536374
368	0.9307128489
369	0.9304418754
370	0.9302360926
371	0.9299833803
372	0.929772394
373	0.9295641567
374	0.9293618102
375	0.9291848919
376	0.928945532
377	0.928764392
378	0.9285830557
379	0.9283474266
380	0.9281294696
381	0.9279518641
382	0.927753052
383	0.9275698503
384	0.9273727072
385	0.927264416
386	0.9271157733
387	0.9268834822
388	0.9267172654
389	0.9265586084
390	0.9263101178
391	0.926097168
392	0.9259027739
393	0.9257183941
394	0.9255076041
395	0.9253743755
396	0.9251814541
397	0.9250239753
398	0.9247696921
399	0.9245480043
400	0.924406725
401	0.9241924988
402	0.9239516662
403	0.923806067
404	0.9236229635
405	0.9234603793
406	0.9233453138
407	0.923188424
408	0.9230110149
409	0.9228675756
410	0.9226998862
411	0.9225340622
412	0.9223049128
413	0.9221418378
414	0.9219093503
415	0.9217213379
416	0.9214942503
417	0.9213400113
418	0.9211704565
419	0.9210278027
420	0.9208823998
421	0.9207263937
422	0.9204940044
423	0.9203028502
424	0.920140757
425	0.9199615807
426	0.9198353227
427	0.9196211947
428	0.9193767294
429	0.9192311302
430	0.9189961883
431	0.918752803
432	0.9185835427
433	0.9183472263
434	0.9181294657
435	0.9178934438
436	0.9177284052
437	0.9175852605
438	0.9174088331
439	0.9172700083
440	0.9170925009
441	0.9169177426
442	0.9166905568
443	0.9164827123
444	0.9163384876
445	0.9161080619
446	0.9158691928
447	0.9157108304
448	0.9155218361
449	0.9153419725
450	0.9151887154
451	0.9149624132
452	0.9147626193
453	0.9145397534
454	0.9143395668
455	0.9141887641
456	0.9139371318
457	0.9137251637
458	0.9134559574
459	0.9132940605
460	0.9131473813
461	0.9129833245
462	0.9128061117
463	0.912642644
464	0.9124298905
