iter	MultiClass
0	1.093694112
1	1.089115739
2	1.084815604
3	1.08089503
4	1.077254461
5	1.073762534
6	1.070546294
7	1.06742735
8	1.064519195
9	1.061783736
10	1.059227847
11	1.056732436
12	1.054327055
13	1.052122842
14	1.049939247
15	1.047920298
16	1.046018083
17	1.044161031
18	1.042377809
19	1.040756484
20	1.039199564
21	1.037690653
22	1.036261268
23	1.034901099
24	1.033548194
25	1.032281982
26	1.031118072
27	1.029964275
28	1.028831782
29	1.027782545
30	1.026719268
31	1.025758392
32	1.024851416
33	1.02398489
34	1.02307222
35	1.022187334
36	1.021373824
37	1.02060204
38	1.019811799
39	1.01907968
40	1.018333619
41	1.017691235
42	1.01704404
43	1.016409019
44	1.015829862
45	1.015261898
46	1.014651618
47	1.014038884
48	1.013450204
49	1.012880963
50	1.012379073
51	1.011827406
52	1.011343581
53	1.010760988
54	1.010243487
55	1.009768989
56	1.009299793
57	1.008817145
58	1.00832684
59	1.00785352
60	1.0074341
61	1.006995339
62	1.006514754
63	1.006048797
64	1.005649308
65	1.005245007
66	1.004814984
67	1.004396939
68	1.003991165
69	1.003600806
70	1.003204262
71	1.002764912
72	1.002402632
73	1.001972216
74	1.001626529
75	1.001271023
76	1.000906583
77	1.000530755
78	1.000111727
79	0.9998057041
80	0.999446566
81	0.9990819298
82	0.998734475
83	0.9983939908
84	0.998024053
85	0.9977373709
86	0.997338863
87	0.997015462
88	0.9966857775
89	0.9963445079
90	0.9960378955
91	0.9957235269
92	0.9953885407
93	0.9950154612
94	0.9946805732
95	0.9944121523
96	0.9940894386
97	0.9938052109
98	0.9935372809
99	0.9932115235
100	0.9928855698
101	0.9925624633
102	0.9922775484
103	0.9919412859
104	0.9916423314
105	0.991322563
106	0.9909626394
107	0.9906224498
108	0.9902778421
109	0.989965928
110	0.9897418839
111	0.9894850482
112	0.9891920825
113	0.9888436459
114	0.9886287325
115	0.9883340978
116	0.9880610625
117	0.9877732022
118	0.9874381179
119	0.9870773107
120	0.9868223403
121	0.986543807
122	0.9862628192
123	0.9859687736
124	0.9856931857
125	0.9853907949
126	0.985126203
127	0.9848090854
128	0.9844659504
129	0.9842144163
130	0.9839486462
131	0.9837368745
132	0.9834603047
133	0.9831915893
134	0.9829254265
135	0.9826647617
136	0.9823635491
137	0.9821243855
138	0.9818936653
139	0.9815946126
140	0.9812841711
141	0.9810504074
142	0.980769125
143	0.9804981515
144	0.9802553553
145	0.9799938069
146	0.9797835078
147	0.9795067417
148	0.9792406771
149	0.9788987203
150	0.978653666
151	0.9783765071
152	0.9781501068
153	0.9778631301
154	0.9775803751
155	0.9773426841
156	0.9770627763
157	0.976778745
158	0.9765675623
159	0.9762968833
160	0.9760340586
161	0.9758110945
162	0.9754871044
163	0.975167336
164	0.9749454518
165	0.9747030483
166	0.9745114033
167	0.9742109761
168	0.9738905204
169	0.9736228849
170	0.9734078733
171	0.973140336
172	0.9728704424
173	0.9725522449
174	0.9722917765
175	0.972079612
176	0.9719265512
177	0.9716889585
178	0.9714403697
179	0.9711486804
180	0.9709118731
181	0.9706631862
182	0.9704288333
183	0.97021068
184	0.9699735781
185	0.9697814422
186	0.9695290244
187	0.9692907444
188	0.9690618896
189	0.9687863998
190	0.9685579377
191	0.9683432206
192	0.9681494156
193	0.9679334222
194	0.9676262207
195	0.9673356113
196	0.9671301231
197	0.9669211985
198	0.9666569993
199	0.9664145958
200	0.9661018963
201	0.9658356353
202	0.9655783086
203	0.9653028188
204	0.965097036
205	0.9647885582
206	0.9646042765
207	0.9643910321
208	0.9641634536
209	0.9639002362
210	0.9636670615
211	0.9634767909
212	0.9632104318
213	0.9629202152
214	0.9626768299
215	0.9624419861
216	0.9622142113
217	0.9620138283
218	0.9617283243
